Geneid	SRR9257060
AT1G16810	1779
AT1G14160	137
AT1G55370	967
AT1G67790	0
AT1G30110	379
AT1G70640	54
AT1G71691	5
AT1G78970	460
AT1G09610	4
AT1G69190	0
AT1G34065	222
AT1G69730	220
AT1G64300	90
AT1G18180	174
AT1G53260	2
AT1G18750	58
AT1G72670	615
AT1G63090	309
AT1G67350	3030
AT1G03430	317
AT1G31670	1
AT1G48790	1056
AT1G64510	8966
AT1G10980	13
AT1G61667	196
AT1G48270	229
AT1G66570	0
AT1G35720	14049
AT1G11690	1
AT1G68880	176
AT1G72180	1202
AT1G15920	358
AT1G78020	2334
AT1G63060	0
AT1G24265	103
AT1G19710	482
AT1G28050	1551
AT1G51420	451
AT1G65540	1631
AT1G21600	4209
AT1G68980	283
AT1G20270	397
AT1G73640	103
AT1G02260	397
AT1G20410	457
AT1G55675	257
AT1G19900	100
AT1G30260	125
AT1G10800	21
AT1G56140	815
AT1G74270	3455
AT1G43610	0
AT1G20050	1706
AT1G72250	884
AT1G10940	1655
AT1G02420	18
AT1G32460	0
AT1G35614	0
AT1G11390	797
AT1G25450	1020
AT1G77490	3447
AT1G69250	1171
AT1G14890	411
AT1G66280	1486
AT1G07900	15
AT1G59218	63
AT1G33410	1680
AT1G72280	118
AT1G53670	2367
AT1G78290	89
AT1G36640	3
AT1G17360	658
AT1G14150	2531
AT1G03490	1
AT1G62910	77
AT1G70420	332
AT1G52590	592
AT1G29850	1961
AT1G33810	2647
AT1G19600	1900
AT1G51035	6
AT1G18340	263
AT1G53345	132
AT1G23995	0
AT1G31820	86
AT1G55350	2349
AT1G29460	29
AT1G07420	1352
AT1G04260	298
AT1G14720	1804
AT1G69550	572
AT1G62981	57
AT1G65080	135
AT1G80350	1079
AT1G67060	369
AT1G68845	0
AT1G63600	5
AT1G05930	0
AT1G58265	0
AT1G74100	1864
AT1G48450	3120
AT1G15600	0
AT1G68210	0
AT1G24159	0
AT1G31910	4866
AT1G43630	0
AT1G75010	845
AT1G09700	416
AT1G12900	30820
AT1G30545	102
AT1G16840	1080
AT1G69740	6101
AT1G73280	53
AT1G30000	916
AT1G19150	2435
AT1G04860	1094
AT1G60170	1695
AT1G42190	0
AT1G45010	309
AT1G76065	60
AT1G69780	421
AT1G08750	336
AT1G62305	138
AT1G28610	589
AT1G20490	76
AT1G73970	426
AT1G74580	160
AT1G52100	408
AT1G07670	2205
AT1G02890	2517
AT1G47720	148
AT1G33120	4240
AT1G30700	329
AT1G51650	7267
AT1G27840	526
AT1G63105	0
AT1G09230	407
AT1G06900	1743
AT1G06050	100
AT1G73250	380
AT1G07050	3276
AT1G64810	512
AT1G75270	1345
AT1G64920	46
AT1G54680	52
AT1G05950	197
AT1G33390	719
AT1G73990	2496
AT1G56210	278
AT1G35030	0
AT1G78580	2222
AT1G25155	0
AT1G31720	27
AT1G80030	2577
AT1G32980	0
AT1G56620	0
AT1G50680	0
AT1G78500	5
AT1G58460	12
AT1G45145	795
AT1G53530	282
AT1G67035	101
AT1G21980	1112
AT1G05100	17
AT1G56330	3394
AT1G62500	662
AT1G72940	232
AT1G35242	0
AT1G60750	41
AT1G68120	48
AT1G47330	451
AT1G18740	308
AT1G04210	1538
AT1G66060	47
AT1G56415	0
AT1G13910	172
AT1G07780	551
AT1G54940	27
AT1G76100	4181
AT1G66100	496
AT1G27360	233
AT1G73530	1308
AT1G77400	382
AT1G49290	0
AT1G67220	1
AT1G36272	0
AT1G35780	1142
AT1G56460	545
AT1G16520	812
AT1G63057	0
AT1G06450	30
AT1G59722	0
AT1G51680	2914
AT1G55160	679
AT1G69150	4
AT1G66040	3
AT1G23020	1040
AT1G51915	2
AT1G69380	245
AT1G54400	25
AT1G27420	87
AT1G27910	499
AT1G49040	1668
AT1G58223	0
AT1G67330	0
AT1G23300	0
AT1G64230	3491
AT1G57690	0
AT1G55152	0
AT1G48030	10904
AT1G50890	218
AT1G15590	0
AT1G15180	756
AT1G79460	420
AT1G20823	152
AT1G27330	2033
AT1G78830	2261
AT1G60050	21
AT1G72545	0
AT1G64584	0
AT1G69523	302
AT1G20720	251
AT1G55610	251
AT1G07400	49
AT1G34575	0
AT1G44170	1439
AT1G27600	903
AT1G02710	0
AT1G15040	76
AT1G05200	801
AT1G05575	38
AT1G75220	1280
AT1G13860	477
AT1G05720	343
AT1G53300	1449
AT1G54180	207
AT1G61810	15
AT1G62640	1579
AT1G24430	92
AT1G80590	1
AT1G35820	0
AT1G63250	249
AT1G23890	346
AT1G20480	106
AT1G61790	1817
AT1G68300	915
AT1G69790	25
AT1G10560	46
AT1G68780	429
AT1G07640	1010
AT1G32710	0
AT1G34070	0
AT1G52155	132
AT1G47500	1792
AT1G77765	42
AT1G62190	0
AT1G26130	487
AT1G59500	0
AT1G77010	47
AT1G74130	2
AT1G15360	0
AT1G07170	441
AT1G10360	541
AT1G22780	6863
AT1G64610	187
AT1G02305	1650
AT1G21860	0
AT1G70990	60
AT1G16030	190
AT1G34270	224
AT1G69570	3
AT1G03240	2
AT1G05820	76
AT1G60690	294
AT1G58210	178
AT1G58007	31
AT1G29900	5214
AT1G33320	12
AT1G72630	461
AT1G09780	11870
AT1G29435	0
AT1G15350	514
AT1G06515	311
AT1G50030	1482
