Geneid	SRR9257063
AT1G59359	0
AT1G26921	0
AT1G75870	1
AT1G75335	205
AT1G22830	174
AT1G09630	317
AT1G17280	547
AT1G02750	308
AT1G61070	0
AT1G15385	18
AT1G12855	2
AT1G03520	159
AT1G67880	263
AT1G36580	2
AT1G74190	0
AT1G14590	385
AT1G80625	4
AT1G08300	516
AT1G07020	141
AT1G59760	1824
AT1G72570	0
AT1G01360	150
AT1G70400	7
AT1G52690	107
AT1G78750	179
AT1G15720	3
AT1G14850	1552
AT1G70470	147
AT1G11820	1088
AT1G80700	298
AT1G60783	1
AT1G25230	231
AT1G43900	1022
AT1G67840	746
AT1G64660	927
AT1G07690	0
AT1G47920	30
AT1G23680	0
AT1G18450	1297
AT1G17960	158
AT1G55930	479
AT1G61400	492
AT1G03080	2177
AT1G56660	768
AT1G24130	14
AT1G54960	135
AT1G48350	4122
AT1G80330	0
AT1G14440	399
AT1G65620	81
AT1G11620	1
AT1G69490	43
AT1G78990	63
AT1G29100	0
AT1G52315	11
AT1G70100	457
AT1G61480	39
AT1G35220	689
AT1G27510	1681
AT1G65780	4
AT1G69010	293
AT1G30870	560
AT1G56710	33
AT1G05800	0
AT1G63350	92
AT1G34827	0
AT1G03055	82
AT1G01160	589
AT1G47340	171
AT1G11170	196
AT1G62045	62
AT1G35467	0
AT1G69970	56
AT1G43145	0
AT1G20132	0
AT1G70210	381
AT1G49880	130
AT1G27060	132
AT1G30757	0
AT1G30690	1093
AT1G43760	0
AT1G35680	3915
AT1G61550	21
AT1G36745	0
AT1G58120	542
AT1G69090	0
AT1G27870	0
AT1G63710	2
AT1G03103	0
AT1G31970	3935
AT1G04960	643
AT1G68440	924
AT1G05085	0
AT1G10740	925
AT1G19040	0
AT1G32960	3
AT1G10290	1923
AT1G34020	327
AT1G20575	789
AT1G56085	0
AT1G49190	0
AT1G01730	302
AT1G26500	58
AT1G75125	155
AT1G13800	178
AT1G28380	499
AT1G10150	0
AT1G02180	112
AT1G01180	86
AT1G04625	1
AT1G16810	1225
AT1G14160	114
AT1G55370	660
AT1G67790	0
AT1G30110	318
AT1G70640	140
AT1G71691	11
AT1G78970	262
AT1G09610	4
AT1G69190	0
